"Id","ProcessName","Path"
"5096","agent_ovpnconnect",
"9352","AggregatorHost",
"5228","ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe"
"3344","AppProvisioningPlugin",
"1736","audiodg",
"22188","backgroundTaskHost","C:\WINDOWS\system32\backgroundTaskHost.exe"
"652","bash","C:\Program Files\Git\bin\..\usr\bin\bash.exe"
"30328","Chatbox","C:\Program Files\Chatbox\Chatbox.exe"
"15232","Chatbox","C:\Program Files\Chatbox\Chatbox.exe"
"2196","Chatbox","C:\Program Files\Chatbox\Chatbox.exe"
"13604","cloudflared","C:\Program Files (x86)\cloudflared\cloudflared.exe"
"21716","cmd","C:\WINDOWS\system32\cmd.exe"
"17764","cmd","C:\WINDOWS\system32\cmd.exe"
"30268","cmd","C:\WINDOWS\system32\cmd.exe"
"28216","cmd","C:\WINDOWS\system32\cmd.exe"
"16792","cmd","C:\WINDOWS\system32\cmd.exe"
"11388","cmd","C:\WINDOWS\system32\cmd.exe"
"4652","cmd","C:\WINDOWS\SYSTEM32\cmd.exe"
"16332","cmd","C:\WINDOWS\system32\cmd.exe"
"13268","cmd","C:\WINDOWS\system32\cmd.exe"
"24012","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"25604","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"20760","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"22344","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"27972","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"29088","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"26448","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"27836","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"18512","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"11096","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"11752","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"7652","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"10448","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"18016","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"18404","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"12888","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"17716","comet","C:\Program Files\Perplexity\Comet\Application\comet.exe"
"20892","conhost","C:\WINDOWS\system32\conhost.exe"
"21228","conhost","C:\WINDOWS\system32\conhost.exe"
"18392","conhost","C:\WINDOWS\system32\conhost.exe"
"19128","conhost","C:\WINDOWS\system32\conhost.exe"
"23064","conhost","C:\WINDOWS\system32\conhost.exe"
"26776","conhost","C:\WINDOWS\system32\conhost.exe"
"28548","conhost","C:\WINDOWS\system32\conhost.exe"
"24220","conhost","C:\WINDOWS\system32\conhost.exe"
"24272","conhost","C:\WINDOWS\system32\conhost.exe"
"18388","conhost","C:\WINDOWS\system32\conhost.exe"
